TransactionID,Date,CustomerID,ProductCategory,ProductName,Quantity,UnitPrice,Discount,TotalAmount,PaymentMethod,Region,Channel
TX-10001,2026-01-01,CUST-0343,Groceries,Susu UHT Cokelat 1L,3,18500,0,55500,OVO,Jabodetabek,Offline
TX-10002,2026-01-01,CUST-0278,Fashion,Celana Chino Slimfit,2,195000,0,390000,Transfer BCA,Jabodetabek,Online
TX-10003,2026-01-01,CUST-0306,Electronics,Blender Miyako,5,280000,10000,1390000,OVO,Sumatera,Offline
TX-10004,2026-01-01,CUST-0675,Fashion,Hijab Voal Square,1,45000,0,45000,GoPay,Jabodetabek,Offline
TX-10005,2026-01-01,CUST-0600,Fashion,Hijab Voal Square,1,45000,0,45000,Cash,Jabodetabek,Offline
TX-10006,2026-01-01,CUST-0621,Home Living,Bantal Kepala Serat Silikon,5,60000,0,300000,Cash,Sulawesi,Offline
TX-10007,2026-01-01,CUST-0994,Groceries,Kopi Susu Aren 1L,1,65000,0,65000,Cash,Jawa Timur,Offline
TX-10008,2026-01-01,CUST-0882,Groceries,Beras Premium 5kg,3,74000,0,222000,Cash,Jabodetabek,Offline
TX-10009,2026-01-01,CUST-0218,Home Living,Wajan Teflon Anti Lengket,3,185000,0,555000,OVO,Jawa Timur,Offline
TX-10010,2026-01-01,CUST-0597,Fashion,Celana Chino Slimfit,4,195000,0,780000,GoPay,Jabodetabek,Online
TX-10011,2026-01-01,CUST-0085,Electronics,Kipas Angin Cosmos,2,320000,0,640000,GoPay,Jabodetabek,Online
TX-10012,2026-01-01,CUST-0708,Electronics,Kipas Angin Cosmos,3,320000,5000,955000,OVO,Jabodetabek,Offline
TX-10013,2026-01-01,CUST-0761,Electronics,Air Fryer Philips,1,1200000,0,1200000,GoPay,Jawa Tengah,Offline
TX-10014,2026-01-01,CUST-0622,Fashion,Gamis Muslimah Premium,2,350000,5000,695000,Transfer BCA,Jabodetabek,Offline
TX-10015,2026-01-01,CUST-0231,Home Living,Rak Sepatu Minimalis,3,125000,0,375000,Credit Card,Jawa Barat,Offline
TX-10016,2026-01-01,CUST-0294,Home Living,Sprei Microfiber King,3,145000,0,435000,GoPay,Jawa Timur,Online
TX-10017,2026-01-01,CUST-0416,Groceries,Sirup Cocopandan,2,22000,5000,39000,GoPay,Jawa Timur,Online
TX-10018,2026-01-01,CUST-0081,Electronics,"Smart TV Xiaomi 32""",3,1990000,0,5970000,Cash,Jawa Tengah,Offline
TX-10019,2026-01-01,CUST-0539,Groceries,Kopi Susu Aren 1L,3,65000,10000,185000,Cash,Jabodetabek,Offline
TX-10020,2026-01-01,CUST-0334,Electronics,Rice Cooker Yong Ma,2,650000,0,1300000,Cash,Sulawesi,Offline
TX-10021,2026-01-01,CUST-0771,Home Living,Sprei Microfiber King,1,145000,0,145000,GoPay,Jabodetabek,Offline
TX-10022,2026-01-01,CUST-0982,Groceries,Susu UHT Cokelat 1L,2,18500,0,37000,OVO,Sulawesi,Online
TX-10023,2026-01-01,CUST-0862,Home Living,Rak Sepatu Minimalis,3,125000,0,375000,Transfer BCA,Jabodetabek,Online
TX-10024,2026-01-01,CUST-0858,Groceries,Minyak Goreng 2L,1,38000,0,38000,GoPay,Jawa Tengah,Offline
TX-10025,2026-01-01,CUST-0334,Home Living,Bantal Kepala Serat Silikon,1,60000,10000,50000,Cash,Sumatera,Offline
TX-10026,2026-01-01,CUST-0074,Electronics,Kipas Angin Cosmos,1,320000,0,320000,GoPay,Jabodetabek,Online
TX-10027,2026-01-01,CUST-0572,Groceries,Kopi Susu Aren 1L,2,65000,0,130000,Cash,Jawa Barat,Offline
TX-10028,2026-01-01,CUST-0196,Fashion,Hijab Voal Square,1,45000,0,45000,Cash,Jawa Barat,Offline
TX-10029,2026-01-02,CUST-0474,Electronics,Rice Cooker Yong Ma,5,650000,0,3250000,GoPay,Jawa Tengah,Online
TX-10030,2026-01-02,CUST-0629,Electronics,"Smart TV Xiaomi 32""",2,1990000,0,3980000,Transfer BCA,Jabodetabek,Offline
TX-10031,2026-01-02,CUST-0747,Electronics,Blender Miyako,3,280000,2000,838000,OVO,Jawa Barat,Online
TX-10032,2026-01-02,CUST-0332,Electronics,Rice Cooker Yong Ma,3,650000,0,1950000,Cash,Jawa Timur,Offline
TX-10033,2026-01-02,CUST-0404,Groceries,Kopi Susu Aren 1L,2,65000,0,130000,Cash,Sulawesi,Offline
TX-10034,2026-01-02,CUST-0298,Electronics,Rice Cooker Yong Ma,1,650000,10000,640000,GoPay,Jawa Barat,Online
TX-10035,2026-01-02,CUST-0103,Groceries,Minyak Goreng 2L,1,38000,0,38000,Cash,Jawa Barat,Offline
TX-10036,2026-01-02,CUST-0580,Fashion,Gamis Muslimah Premium,2,350000,5000,695000,ShopeePay,Jabodetabek,Online
